displacement,cylinders,horsepower,weight,acceleration,model_year,origin,mpg
318.0,8,150.0,3755,14.0,76,1,13.0
119.0,4,97.0,2545,17.0,75,3,24.0
232.0,6,100.0,2945,16.0,73,1,18.0
111.0,4,80.0,2155,14.8,77,1,30.0
350.0,8,165.0,4274,12.0,72,1,13.0
250.0,6,88.0,3139,14.5,71,1,18.0
232.0,6,100.0,2634,13.0,71,1,19.0
105.0,4,75.0,2230,14.5,78,1,30.9
258.0,6,95.0,3193,17.8,76,1,17.5
120.0,4,79.0,2625,18.6,82,1,28.0
318.0,8,210.0,4382,13.5,70,1,11.0
105.0,4,74.0,2190,14.2,81,2,33.0
351.0,8,149.0,4335,14.5,77,1,16.0
305.0,8,145.0,3425,13.2,78,1,19.2
351.0,8,142.0,4054,14.3,79,1,15.5
231.0,6,110.0,3039,15.0,75,1,21.0
107.0,4,72.0,2290,17.0,80,3,32.4
304.0,8,150.0,4257,15.5,74,1,14.0
400.0,8,175.0,4385,12.0,72,1,14.0
350.0,8,150.0,4699,14.5,74,1,13.0
122.0,4,80.0,2451,16.5,74,1,26.0
455.0,8,225.0,4425,10.0,70,1,14.0
351.0,8,153.0,4129,13.0,72,1,14.0
105.0,4,70.0,2150,14.9,79,1,34.5
113.0,4,95.0,2372,15.0,70,3,24.0
318.0,8,150.0,4498,14.5,75,1,16.0
318.0,8,150.0,4096,13.0,71,1,14.0
231.0,6,110.0,3415,15.8,81,1,22.4
120.0,4,75.0,2542,17.5,80,3,31.3
79.0,4,58.0,1825,18.6,77,2,36.0
200.0,6,85.0,2990,18.2,79,1,19.8
135.0,4,84.0,2385,12.9,81,1,30.0
98.0,4,83.0,2075,15.9,77,1,33.5
120.0,4,88.0,3270,21.9,76,2,19.0
302.0,8,130.0,3870,15.0,76,1,13.0
183.0,5,77.0,3530,20.1,79,2,25.4
168.0,6,116.0,2900,12.6,81,3,25.4
200.0,6,95.0,3155,18.2,78,1,20.5
156.0,4,92.0,2585,14.5,82,1,26.0
146.0,6,120.0,2930,13.8,81,3,24.2
151.0,4,90.0,2670,16.0,79,1,28.4
156.0,4,105.0,2745,16.7,78,1,23.2
97.0,4,71.0,1825,12.2,76,2,29.5
225.0,6,95.0,3785,19.0,75,1,18.0
400.0,8,175.0,5140,12.0,71,1,13.0
122.0,4,96.0,2300,15.5,77,1,25.5
250.0,6,105.0,3353,14.5,76,1,22.0
98.0,4,70.0,2120,15.5,80,1,32.1
258.0,6,120.0,3410,15.1,78,1,18.1
350.0,8,180.0,4499,12.5,73,1,12.0
72.0,4,69.0,1613,18.0,71,3,35.0
350.0,8,165.0,3693,11.5,70,1,15.0
116.0,4,90.0,2123,14.0,71,2,28.0
97.0,4,92.0,2288,17.0,72,3,28.0
130.0,4,102.0,3150,15.7,76,2,20.0
250.0,6,100.0,3329,15.5,71,1,17.0
318.0,8,140.0,4080,13.7,78,1,17.5
351.0,8,158.0,4363,13.0,73,1,13.0
71.0,4,65.0,1773,19.0,71,3,31.0
98.0,4,68.0,2155,16.5,78,1,30.0
80.0,3,110.0,2720,13.5,77,3,21.5
455.0,8,225.0,3086,10.0,70,1,14.0
97.0,4,78.0,2188,15.8,80,2,34.3
318.0,8,150.0,3777,12.5,73,1,15.0
163.0,6,125.0,3140,13.6,78,2,17.0
140.0,4,83.0,2639,17.0,75,1,23.0
97.0,4,67.0,2145,18.0,80,3,33.8
135.0,4,84.0,2370,13.0,82,1,36.0
302.0,8,140.0,4141,14.0,74,1,16.0
151.0,4,90.0,2556,13.2,79,1,33.5
107.0,4,75.0,2205,14.5,82,3,36.0
108.0,4,75.0,2265,15.2,80,3,32.2
98.0,4,66.0,1800,14.4,78,1,36.1
97.0,4,60.0,1834,19.0,71,2,27.0
79.0,4,70.0,2074,19.5,71,2,30.0
232.0,6,90.0,3211,17.0,75,1,19.0
225.0,6,100.0,3233,15.4,76,1,22.0
135.0,4,84.0,2295,11.6,82,1,32.0
304.0,8,120.0,3962,13.9,76,1,15.5
134.0,4,96.0,2702,13.5,75,3,24.0
97.0,4,54.0,2254,23.5,72,2,23.0
122.0,4,86.0,2220,14.0,71,1,23.0
89.0,4,62.0,2050,17.3,81,3,37.7
98.0,4,63.0,2051,17.0,77,1,30.5
200.0,6,85.0,2965,15.8,78,1,20.2
107.0,4,90.0,2430,14.5,70,2,24.0
151.0,4,90.0,3003,20.1,80,1,24.3
258.0,6,110.0,3730,19.0,75,1,15.0
89.0,4,71.0,1990,14.9,78,2,31.5
200.0,6,81.0,3012,17.6,76,1,24.0
98.0,4,80.0,1915,14.4,79,1,35.7
85.0,4,65.0,1975,19.4,81,3,37.0
200.0,6,85.0,3070,16.7,78,1,20.8
89.0,4,60.0,1968,18.8,80,3,38.1
79.0,4,67.0,2000,16.0,74,2,31.0
140.0,4,75.0,2542,17.0,74,1,25.0
250.0,6,105.0,3459,16.0,75,1,18.0
350.0,8,105.0,3725,19.0,81,1,26.6
250.0,6,88.0,3021,16.5,73,1,18.0
105.0,4,63.0,2125,14.7,82,1,38.0
302.0,8,137.0,4042,14.5,73,1,14.0
168.0,6,132.0,2910,11.4,80,3,32.7
98.0,4,68.0,2045,18.5,77,3,31.5
121.0,4,110.0,2660,14.0,73,2,24.0
119.0,4,82.0,2720,19.4,82,1,31.0
110.0,4,87.0,2672,17.5,70,2,25.0
351.0,8,152.0,4215,12.8,76,1,14.5
304.0,8,150.0,3892,12.5,72,1,15.0
232.0,6,100.0,2789,15.0,73,1,18.0
151.0,4,85.0,2855,17.6,78,1,23.8
98.0,4,65.0,2380,20.7,81,1,29.9
400.0,8,150.0,4997,14.0,73,1,11.0
